step,busyness,production_1,production_2,production_3
0,0.9736842105263158,0,0,0
100,0.9210526315789473,0,0,0
200,0.9210526315789473,0,0,0
300,0.9210526315789473,0,0,0
400,0.9736842105263158,1,0,0
500,1.0,1,1,1
600,1.0,2,2,1
700,0.9736842105263158,3,3,2
800,1.0,4,4,4
900,1.0,5,5,4
1000,0.9736842105263158,6,6,6
1100,0.9736842105263158,7,8,7
1200,0.9210526315789473,8,8,8
1300,0.9736842105263158,9,10,9
1400,0.9473684210526315,11,11,10
1500,0.9473684210526315,11,12,11
1600,0.9736842105263158,13,13,12
1700,0.9736842105263158,14,14,13
1800,0.9473684210526315,15,15,14
1900,0.8947368421052632,16,16,16
2000,0.9473684210526315,17,17,16
2100,0.868421052631579,18,18,18
2200,0.9210526315789473,19,20,19
2300,0.9473684210526315,20,20,19
2400,0.9473684210526315,21,22,21
2500,0.9736842105263158,23,23,22
2600,1.0,23,23,23
2700,0.9736842105263158,25,25,24
2800,1.0,26,26,25
2900,1.0,26,27,26
3000,1.0,28,28,27
3100,1.0,29,29,28
3200,0.9736842105263158,30,30,29
3300,1.0,31,31,31
3400,1.0,32,32,31
3500,0.9473684210526315,33,33,33
3600,0.9736842105263158,34,35,34
3700,0.8947368421052632,35,35,35
3800,0.9473684210526315,36,37,36
3900,0.9210526315789473,38,38,37
4000,0.9473684210526315,38,39,38
4100,0.9736842105263158,40,40,39
4200,0.9736842105263158,41,41,40
4300,0.9473684210526315,42,42,41
4400,0.9210526315789473,43,43,43
4500,0.9473684210526315,44,44,43
4600,0.8947368421052632,45,45,45
4700,0.9210526315789473,46,47,46
4800,0.9473684210526315,47,47,46
4900,0.9473684210526315,48,49,48
5000,0.9736842105263158,50,50,49
5100,1.0,50,50,50
5200,0.9736842105263158,52,52,51
5300,0.9736842105263158,53,53,52
5400,1.0,53,54,53
5500,1.0,55,55,54
5600,1.0,56,56,55
5700,0.9736842105263158,57,57,56
5800,1.0,58,58,58
5900,1.0,59,59,58
6000,0.9473684210526315,60,60,60
6100,0.9736842105263158,61,62,61
6200,0.8947368421052632,62,62,62
6300,0.9736842105263158,63,64,63
6400,0.9210526315789473,65,65,64
6500,0.9210526315789473,65,66,65
6600,0.9736842105263158,67,67,66
6700,0.9736842105263158,68,68,67
6800,0.9736842105263158,69,69,68
6900,0.9736842105263158,70,70,69
7000,0.9210526315789473,71,71,70
7100,0.8947368421052632,72,72,72
7200,0.9473684210526315,73,73,73
7300,0.9473684210526315,74,74,73
7400,0.9473684210526315,75,76,75
7500,1.0,76,77,76
7600,1.0,77,77,77
7700,0.9736842105263158,79,79,78
7800,0.9736842105263158,80,80,79
7900,1.0,80,81,80
8000,1.0,82,82,81
8100,0.9736842105263158,83,83,82
8200,0.9473684210526315,84,84,83
8300,0.9210526315789473,85,85,85
8400,1.0,86,86,85
8500,0.9473684210526315,87,87,87
8600,0.9210526315789473,88,89,88
8700,0.8947368421052632,89,89,89
8800,0.9736842105263158,90,91,90
8900,0.9210526315789473,92,92,91
9000,0.9210526315789473,92,93,92
9100,0.9736842105263158,94,94,93
9200,1.0,95,95,94
9300,0.9736842105263158,96,96,95
9400,0.9736842105263158,97,97,96
9500,1.0,98,98,97
9600,0.9473684210526315,99,99,99
9700,0.9736842105263158,100,100,100
9800,0.9736842105263158,101,101,100
9900,0.9473684210526315,102,103,102
