# Settings - STEP_TO_TIME: 0.1
# Settings - SIMULATION_TIME: 10800
# Settings - STEPS: 108000
# Settings - MAX_CONTAINERS_AMMOUNT: 1
#name production.product_1 production.product_2 production.product_3 stoppers_occupied conveyors_moving
#datatype int int int float float
step,production.product_1,production.product_2,production.product_3,stoppers_occupied,conveyors_moving
0,0,0,0,0.0263,0.0000
100,0,0,0,0.0263,0.0000
200,0,0,0,0.0263,0.0000
300,0,0,0,0.0263,0.0000
400,1,0,0,0.0263,0.0000
500,1,0,0,0.0263,0.0000
600,1,0,0,0.0263,0.0000
700,1,1,0,0.0263,0.0000
800,1,1,0,0.0263,0.0000
900,1,1,1,0.0263,0.0000
1000,1,1,1,0.0263,0.0000
1100,2,1,1,0.0263,0.0000
1200,2,1,1,0.0263,0.0000
1300,2,1,1,0.0263,0.0000
1400,2,2,1,0.0263,0.0000
1500,2,2,1,0.0263,0.0000
1600,2,2,2,0.0263,0.0000
1700,2,2,2,0.0263,0.0000
1800,2,2,2,0.0263,0.0000
1900,3,2,2,0.0263,0.0000
2000,3,2,2,0.0263,0.0000
2100,3,3,2,0.0263,0.0000
2200,3,3,2,0.0263,0.0000
2300,3,3,3,0.0263,0.0000
2400,3,3,3,0.0263,0.0000
2500,3,3,3,0.0263,0.0000
2600,4,3,3,0.0263,0.0000
2700,4,3,3,0.0263,0.0000
2800,4,4,3,0.0263,0.0000
2900,4,4,3,0.0263,0.0000
3000,4,4,4,0.0263,0.0000
3100,4,4,4,0.0263,0.0000
3200,4,4,4,0.0263,0.0000
3300,5,4,4,0.0263,0.0000
3400,5,4,4,0.0263,0.0000
3500,5,5,4,0.0263,0.0000
3600,5,5,4,0.0263,0.0000
3700,5,5,5,0.0263,0.0000
3800,5,5,5,0.0263,0.0000
3900,5,5,5,0.0263,0.0000
4000,6,5,5,0.0263,0.0000
4100,6,5,5,0.0263,0.0000
4200,6,6,5,0.0263,0.0000
4300,6,6,5,0.0263,0.0000
4400,6,6,6,0.0263,0.0000
4500,6,6,6,0.0263,0.0000
4600,6,6,6,0.0263,0.0000
4700,7,6,6,0.0263,0.0000
4800,7,6,6,0.0263,0.0000
4900,7,7,6,0.0263,0.0000
5000,7,7,6,0.0263,0.0000
5100,7,7,7,0.0263,0.0000
5200,7,7,7,0.0263,0.0000
5300,7,7,7,0.0263,0.0000
5400,8,7,7,0.0263,0.0000
5500,8,7,7,0.0263,0.0000
5600,8,8,7,0.0263,0.0000
5700,8,8,7,0.0263,0.0000
5800,8,8,8,0.0263,0.0000
5900,8,8,8,0.0263,0.0000
6000,8,8,8,0.0263,0.0000
6100,9,8,8,0.0263,0.0000
6200,9,8,8,0.0263,0.0000
6300,9,9,8,0.0263,0.0000
6400,9,9,8,0.0263,0.0000
6500,9,9,9,0.0263,0.0000
6600,9,9,9,0.0263,0.0000
6700,9,9,9,0.0263,0.0000
6800,10,9,9,0.0263,0.0000
6900,10,9,9,0.0263,0.0000
7000,10,10,9,0.0263,0.0000
7100,10,10,9,0.0263,0.0000
7200,10,10,10,0.0263,0.0000
7300,10,10,10,0.0263,0.0000
7400,10,10,10,0.0263,0.0000
7500,11,10,10,0.0263,0.0000
7600,11,10,10,0.0263,0.0000
7700,11,11,10,0.0263,0.0000
