# Settings - STEP_TO_TIME: 0.1
# Settings - SIMULATION_TIME: 10800
# Settings - STEPS: 108000
# Settings - MAX_CONTAINERS_AMMOUNT: 8
#name production.product_1 production.product_2 production.product_3 stoppers_occupied conveyors_moving
#datatype int int int float float
step,production.product_1,production.product_2,production.product_3,stoppers_occupied,conveyors_moving
0,0,0,0,0.0526,0.0238
100,0,0,0,0.1316,0.0476
200,0,0,0,0.1842,0.0952
300,0,0,0,0.2105,0.1429
400,1,0,0,0.2105,0.1905
500,1,1,1,0.2105,0.1905
600,2,2,1,0.2105,0.1905
700,3,3,2,0.2105,0.1905
800,4,4,3,0.2105,0.1667
900,5,5,4,0.2105,0.1667
1000,6,6,5,0.2105,0.1905
1100,7,7,6,0.2105,0.1667
1200,8,8,7,0.2105,0.1905
1300,9,9,8,0.2105,0.1905
1400,10,10,9,0.2105,0.1667
1500,11,11,10,0.2105,0.1905
1600,12,12,11,0.2105,0.1905
1700,13,13,12,0.2105,0.1667
1800,14,14,13,0.2105,0.1905
1900,15,15,14,0.2105,0.1905
2000,16,16,15,0.2105,0.1429
2100,17,17,16,0.2105,0.1905
2200,18,18,17,0.2105,0.1905
2300,19,19,18,0.2105,0.1429
2400,20,20,19,0.2105,0.1905
2500,21,21,20,0.2105,0.1905
2600,22,22,21,0.2105,0.1429
2700,23,23,22,0.2105,0.1905
2800,24,24,23,0.2105,0.1905
2900,25,25,24,0.2105,0.1429
3000,26,26,25,0.2105,0.1905
3100,27,27,26,0.2105,0.1429
3200,28,28,27,0.2105,0.1667
3300,29,29,28,0.2105,0.1667
3400,30,30,29,0.2105,0.1429
3500,31,31,30,0.2105,0.1667
3600,32,32,31,0.2105,0.1667
3700,33,33,32,0.2105,0.1429
3800,34,34,33,0.2105,0.1667
3900,35,35,34,0.2105,0.1667
4000,36,36,35,0.2105,0.1429
4100,37,37,36,0.2105,0.1667
4200,38,38,37,0.2105,0.1429
4300,39,39,38,0.2105,0.1429
4400,40,40,39,0.2105,0.1667
4500,41,41,40,0.2105,0.1429
4600,42,42,41,0.2105,0.1429
4700,43,43,42,0.2105,0.1667
4800,44,44,43,0.2105,0.1429
4900,45,45,44,0.2105,0.1429
5000,46,46,45,0.2105,0.1905
5100,47,47,46,0.2105,0.1429
5200,48,48,47,0.2105,0.1429
5300,49,49,48,0.2105,0.1905
5400,50,50,49,0.2105,0.1429
5500,51,51,50,0.2105,0.1429
5600,52,52,51,0.2105,0.1905
5700,53,53,52,0.2105,0.1429
5800,54,54,53,0.2105,0.1190
5900,55,55,54,0.2105,0.1905
6000,56,56,55,0.2105,0.1429
6100,57,57,56,0.2105,0.1667
6200,58,58,57,0.2105,0.1905
6300,59,59,58,0.2105,0.1429
6400,60,60,59,0.2105,0.1667
6500,61,61,60,0.2105,0.1905
6600,62,62,61,0.2105,0.1429
6700,63,63,62,0.2105,0.1667
6800,64,64,63,0.2105,0.1905
6900,65,65,64,0.2105,0.1190
7000,66,66,65,0.2105,0.1667
7100,67,67,66,0.2105,0.1667
7200,68,68,67,0.2105,0.1429
7300,69,69,68,0.2105,0.1667
7400,70,70,69,0.2105,0.1667
7500,71,71,70,0.2105,0.1429
7600,72,72,71,0.2105,0.1667
7700,73,73,72,0.2105,0.1667
7800,74,74,73,0.2105,0.1429
7900,75,75,74,0.2105,0.1667
8000,76,76,75,0.2105,0.1667
8100,77,77,76,0.2105,0.1429
8200,78,78,77,0.2105,0.1667
8300,79,79,78,0.2105,0.1667
8400,80,80,79,0.2105,0.1429
8500,81,81,80,0.2105,0.1667
8600,82,82,81,0.2105,0.1667
8700,83,83,82,0.2105,0.1429
8800,84,83,83,0.2105,0.1905
8900,85,85,84,0.2105,0.1667
9000,86,86,85,0.2105,0.1667
9100,87,86,86,0.2105,0.1905
9200,88,88,87,0.2105,0.1667
9300,89,89,88,0.2105,0.1667
9400,90,89,89,0.2105,0.1905
9500,91,91,90,0.2105,0.1667
9600,92,92,91,0.2105,0.1667
9700,93,92,92,0.2105,0.1905
9800,94,94,93,0.2105,0.1429
9900,95,94,94,0.2105,0.1905
10000,96,95,95,0.2105,0.1905
10100,97,97,96,0.2105,0.1667
10200,98,97,97,0.2105,0.1905
10300,99,98,98,0.2105,0.1905
10400,100,100,99,0.2105,0.1667
10500,101,100,100,0.2105,0.1905
10600,102,101,101,0.2105,0.1905
10700,103,103,102,0.2105,0.1667
10800,104,103,103,0.2105,0.1905
10900,105,104,104,0.2105,0.1905
11000,106,106,105,0.2105,0.1667
11100,107,106,106,0.2105,0.1905
11200,108,107,107,0.2105,0.1905
11300,109,109,108,0.2105,0.1667
11400,110,109,109,0.2105,0.1905
11500,111,110,110,0.2105,0.1905
11600,112,112,111,0.2105,0.1667
11700,113,112,112,0.2105,0.1905
11800,114,113,113,0.2105,0.1905
11900,115,115,114,0.2105,0.1667
12000,116,115,115,0.2105,0.1905
12100,117,116,116,0.2105,0.1905
12200,118,118,117,0.2105,0.1667
12300,119,118,118,0.2105,0.1905
12400,120,119,119,0.2105,0.1429
12500,121,121,120,0.2105,0.1667
12600,122,121,121,0.2105,0.1905
12700,123,122,122,0.2105,0.1429
12800,124,123,123,0.2105,0.1905
12900,125,124,124,0.2105,0.1905
13000,126,125,125,0.2105,0.1429
13100,127,126,126,0.2105,0.1905
13200,128,127,127,0.2105,0.1667
13300,129,128,128,0.2105,0.1429
13400,130,129,129,0.2105,0.1905
13500,131,130,130,0.2105,0.1190
13600,132,131,131,0.2105,0.1429
13700,133,132,132,0.2105,0.1905
13800,134,133,133,0.2105,0.1190
13900,135,134,134,0.2105,0.1429
14000,136,135,135,0.2105,0.1905
