# Settings - STEP_TO_TIME: 0.1
# Settings - SIMULATION_TIME: 3600
# Settings - STEPS: 36000
# Settings - MAX_CONTAINERS_AMMOUNT: 12
#name production.product_1 production.product_2 production.product_3 stoppers_occupied conveyors_moving
#datatype int int int float float
step,production.product_1,production.product_2,production.product_3,stoppers_occupied,conveyors_moving
16000,223,223,222,0.3158,0.2381
16100,224,225,224,0.3158,0.2143
16200,226,226,225,0.3158,0.2619
16300,227,227,227,0.3158,0.2619
16400,229,229,228,0.3158,0.2619
16500,230,230,229,0.3158,0.2381
16600,231,232,231,0.3158,0.2619
16700,233,233,233,0.3158,0.2143
16800,234,234,234,0.3158,0.2381
16900,236,236,235,0.3158,0.2381
17000,237,238,237,0.3158,0.2381
17100,238,239,238,0.3158,0.2857
17200,240,240,240,0.3158,0.2619
17300,242,242,241,0.3158,0.2619
17400,243,243,242,0.3158,0.2619
17500,244,245,244,0.3158,0.2619
17600,246,246,245,0.3158,0.2619
17700,247,247,247,0.3158,0.2619
17800,249,249,248,0.3158,0.2381
17900,250,250,250,0.3158,0.2143
18000,251,252,251,0.3158,0.2619
18100,253,253,253,0.3158,0.2381
18200,254,255,254,0.3158,0.2381
18300,256,256,255,0.3158,0.2619
18400,257,258,257,0.3158,0.2619
18500,259,259,258,0.3158,0.2381
18600,260,260,260,0.3158,0.2619
18700,262,262,261,0.3158,0.2381
18800,263,263,263,0.3158,0.2143
18900,264,265,264,0.3158,0.2857
19000,266,266,265,0.3158,0.2381
19100,267,268,267,0.3158,0.2381
19200,269,269,268,0.3158,0.2857
19300,270,270,270,0.3158,0.2619
19400,272,272,271,0.3158,0.2381
19500,273,273,273,0.3158,0.2619
19600,274,275,274,0.3158,0.2619
19700,276,276,276,0.3158,0.2143
19800,277,278,277,0.3158,0.2857
19900,279,279,278,0.3158,0.2381
20000,280,281,280,0.3158,0.2381
20100,282,282,281,0.3158,0.2857
20200,283,283,283,0.3158,0.2619
20300,285,285,284,0.3158,0.2381
20400,286,286,286,0.3158,0.2143
20500,287,288,287,0.3158,0.2381
20600,289,289,289,0.3158,0.1667
20700,290,291,290,0.3158,0.2381
20800,292,292,291,0.3158,0.2381
20900,293,294,293,0.3158,0.2381
21000,295,295,294,0.3158,0.2619
21100,296,296,296,0.3158,0.2619
21200,298,298,297,0.3158,0.2381
21300,299,299,299,0.3158,0.2143
21400,300,301,300,0.3158,0.2619
21500,302,302,301,0.3158,0.2381
21600,303,304,303,0.3158,0.2381
21700,305,305,304,0.3158,0.2619
21800,306,306,306,0.3158,0.2857
21900,308,308,307,0.3158,0.2619
22000,309,309,309,0.3158,0.2381
22100,310,311,310,0.3158,0.2619
22200,312,312,312,0.3158,0.2143
22300,313,314,313,0.3158,0.2619
22400,315,315,314,0.3158,0.2143
22500,316,317,316,0.3158,0.2381
22600,318,318,317,0.3158,0.2619
22700,319,319,319,0.3158,0.2619
22800,321,321,320,0.3158,0.2381
22900,322,322,322,0.3158,0.1667
23000,323,324,323,0.3158,0.2381
23100,325,325,325,0.3158,0.1667
23200,326,327,326,0.3158,0.2143
23300,328,328,327,0.3158,0.2143
23400,329,330,329,0.3158,0.2381
23500,331,331,330,0.3158,0.2619
23600,332,332,332,0.3158,0.2619
23700,334,334,333,0.3158,0.2143
23800,335,335,335,0.3158,0.1905
23900,336,337,336,0.3158,0.2619
24000,338,338,337,0.3158,0.2381
24100,339,340,339,0.3158,0.2381
24200,341,341,340,0.3158,0.2619
24300,342,342,342,0.3158,0.2857
24400,344,344,343,0.3158,0.2619
24500,345,345,345,0.3158,0.2381
24600,346,347,346,0.3158,0.2381
24700,348,348,348,0.3158,0.1905
24800,349,350,349,0.3158,0.2381
24900,351,351,350,0.3158,0.2143
25000,352,353,352,0.3158,0.2381
25100,354,354,353,0.3158,0.2619
25200,355,355,355,0.3158,0.2619
25300,357,357,356,0.3158,0.2381
25400,358,358,358,0.3158,0.1667
25500,359,360,359,0.3158,0.2143
25600,361,361,361,0.3158,0.1667
25700,362,363,362,0.3158,0.1905
25800,364,364,363,0.3158,0.2143
25900,365,366,365,0.3158,0.2381
26000,367,367,366,0.3158,0.2619
26100,368,368,368,0.3158,0.2619
26200,370,370,369,0.3158,0.2381
26300,371,371,371,0.3158,0.1905
26400,372,373,372,0.3158,0.2619
26500,374,374,373,0.3158,0.2381
26600,375,376,375,0.3158,0.2143
26700,377,377,376,0.3158,0.2619
26800,378,378,378,0.3158,0.2857
26900,380,380,379,0.3158,0.2619
27000,381,381,381,0.3158,0.2381
27100,382,383,382,0.3158,0.2619
27200,384,384,384,0.3158,0.1905
27300,385,386,385,0.3158,0.2381
27400,387,387,386,0.3158,0.2143
27500,388,389,388,0.3158,0.2143
27600,390,390,389,0.3158,0.2619
27700,391,391,391,0.3158,0.2619
27800,393,393,392,0.3158,0.2381
27900,394,394,394,0.3158,0.1905
28000,395,396,395,0.3158,0.2381
28100,397,397,397,0.3158,0.1905
28200,398,399,398,0.3158,0.1905
28300,400,400,399,0.3158,0.2143
28400,401,402,401,0.3158,0.2381
28500,403,403,402,0.3158,0.2619
28600,404,404,404,0.3158,0.2619
28700,406,406,405,0.3158,0.2381
28800,407,407,407,0.3158,0.2143
28900,408,409,408,0.3158,0.2619
29000,410,410,409,0.3158,0.2619
29100,411,412,411,0.3158,0.2143
29200,413,413,412,0.3158,0.2619
29300,414,414,414,0.3158,0.2857
29400,416,416,415,0.3158,0.2619
29500,417,417,417,0.3158,0.2381
29600,418,419,418,0.3158,0.2619
29700,420,420,420,0.3158,0.2143
29800,421,422,421,0.3158,0.2619
29900,423,423,422,0.3158,0.2381
30000,424,425,424,0.3158,0.2143
30100,426,426,425,0.3158,0.2619
30200,427,427,427,0.3158,0.2619
30300,429,429,428,0.3158,0.2619
30400,430,430,429,0.3158,0.2381
30500,431,432,431,0.3158,0.2619
30600,433,433,433,0.3158,0.2143
30700,434,434,434,0.3158,0.2381
30800,436,436,435,0.3158,0.2381
30900,437,438,437,0.3158,0.2381
31000,438,439,438,0.3158,0.2857
31100,440,440,440,0.3158,0.2619
31200,442,442,441,0.3158,0.2619
31300,443,443,442,0.3158,0.2619
31400,444,445,444,0.3158,0.2619
31500,446,446,445,0.3158,0.2619
31600,447,447,447,0.3158,0.2619
31700,449,449,448,0.3158,0.2381
