step,busyness,production_1,production_2,production_3
0,0.9736842105263158,0,0,0
100,1.0,0,0,0
200,1.0,0,0,0
300,1.0,0,0,0
400,1.0,1,0,0
500,1.0,1,1,0
600,1.0,1,1,0
700,1.0,2,1,1
800,1.0,2,1,1
900,1.0,2,2,1
1000,1.0,2,2,2
1100,1.0,2,2,2
1200,0.9736842105263158,3,3,2
1300,1.0,3,3,2
1400,1.0,3,3,2
1500,0.9736842105263158,4,3,3
1600,0.9736842105263158,4,3,3
1700,1.0,4,4,3
1800,0.9736842105263158,4,4,4
1900,0.9736842105263158,4,4,4
2000,1.0,5,5,4
2100,1.0,5,5,4
2200,1.0,5,5,4
2300,1.0,6,5,5
2400,1.0,6,5,5
2500,1.0,6,6,5
2600,1.0,6,6,6
2700,1.0,6,6,6
2800,1.0,7,7,6
2900,1.0,7,7,6
3000,1.0,7,7,6
3100,1.0,8,7,7
3200,1.0,8,7,7
3300,0.9736842105263158,8,8,7
3400,0.9736842105263158,8,8,8
3500,1.0,8,8,8
3600,0.9736842105263158,9,9,8
3700,0.9736842105263158,9,9,8
3800,1.0,9,9,9
3900,1.0,10,9,9
4000,1.0,10,9,9
4100,1.0,10,10,10
4200,1.0,10,10,10
4300,1.0,10,10,10
4400,1.0,11,11,10
4500,1.0,11,11,10
4600,1.0,11,11,11
4700,1.0,12,11,11
4800,1.0,12,11,11
4900,1.0,12,12,12
5000,1.0,12,12,12
5100,1.0,13,12,12
5200,1.0,13,13,12
5300,1.0,13,13,12
5400,1.0,14,13,13
5500,1.0,14,13,13
5600,1.0,14,14,13
5700,1.0,14,14,14
5800,1.0,14,14,14
5900,1.0,15,15,14
6000,1.0,15,15,14
6100,1.0,15,15,14
6200,1.0,16,15,15
6300,0.9736842105263158,16,15,15
6400,1.0,16,16,15
6500,1.0,16,16,16
6600,0.9736842105263158,16,16,16
6700,1.0,17,17,16
6800,1.0,17,17,16
6900,1.0,17,17,16
7000,1.0,18,17,17
7100,1.0,18,17,17
7200,1.0,18,18,17
7300,1.0,18,18,18
7400,1.0,18,18,18
7500,1.0,19,19,18
7600,1.0,19,19,18
7700,1.0,19,19,18
7800,1.0,20,19,19
7900,1.0,20,19,19
8000,0.9736842105263158,20,20,19
8100,0.9736842105263158,20,20,20
8200,1.0,20,20,20
8300,0.9736842105263158,21,21,20
8400,0.9736842105263158,21,21,20
8500,1.0,21,21,21
8600,1.0,22,21,21
8700,1.0,22,21,21
8800,1.0,22,22,22
8900,1.0,22,22,22
9000,0.9736842105263158,23,22,22
9100,1.0,23,23,22
9200,1.0,23,23,22
9300,0.9736842105263158,24,23,23
9400,1.0,24,23,23
9500,1.0,24,23,23
9600,1.0,24,24,24
9700,1.0,24,24,24
9800,1.0,25,24,24
9900,1.0,25,25,24
