# Settings - STEP_TO_TIME: 0.1
# Settings - SIMULATION_TIME: 10800
# Settings - STEPS: 108000
# Settings - MAX_CONTAINERS_AMMOUNT: 4
#name production.product_1 production.product_2 production.product_3 stoppers_occupied conveyors_moving
#datatype int int int float float
step,production.product_1,production.product_2,production.product_3,stoppers_occupied,conveyors_moving
0,0,0,0,0.0526,0.0238
100,0,0,0,0.1053,0.0476
200,0,0,0,0.1053,0.0952
300,0,0,0,0.1053,0.0952
400,0,0,1,0.1053,0.0952
500,1,1,1,0.1053,0.0952
600,1,1,2,0.1053,0.0714
700,2,2,2,0.1053,0.0714
800,2,2,3,0.1053,0.0952
900,3,3,3,0.1053,0.0476
1000,3,3,4,0.1053,0.0952
1100,4,4,4,0.1053,0.0714
1200,4,4,5,0.1053,0.0714
1300,5,5,5,0.1053,0.0714
1400,5,5,6,0.1053,0.0952
1500,6,6,6,0.1053,0.0952
1600,6,6,7,0.1053,0.0714
1700,7,7,7,0.1053,0.0476
1800,7,7,8,0.1053,0.0952
1900,8,8,8,0.1053,0.0476
2000,8,8,9,0.1053,0.0952
2100,9,9,9,0.1053,0.0952
2200,9,9,10,0.1053,0.0714
2300,10,10,10,0.1053,0.0952
2400,10,10,11,0.1053,0.0952
2500,11,11,11,0.1053,0.0714
2600,11,11,12,0.1053,0.0952
2700,12,12,12,0.1053,0.0714
2800,12,12,13,0.1053,0.0952
2900,13,13,13,0.1053,0.0952
3000,13,13,14,0.1053,0.0952
3100,14,14,14,0.1053,0.0714
3200,15,14,15,0.1053,0.0714
3300,15,15,15,0.1053,0.0952
3400,15,15,16,0.1053,0.0714
3500,16,16,16,0.1053,0.0714
3600,16,16,17,0.1053,0.0952
3700,17,17,17,0.1053,0.0714
3800,17,17,18,0.1053,0.0952
3900,18,18,18,0.1053,0.0952
4000,19,18,19,0.1053,0.0714
4100,19,19,19,0.1053,0.0952
4200,19,19,20,0.1053,0.0952
4300,20,20,20,0.1053,0.0714
4400,20,20,21,0.1053,0.0952
4500,21,21,21,0.1053,0.0714
4600,21,21,22,0.1053,0.0952
4700,22,22,22,0.1053,0.0952
4800,23,22,23,0.1053,0.0952
4900,23,23,23,0.1053,0.0952
5000,24,23,24,0.1053,0.0714
5100,24,24,24,0.1053,0.0952
5200,24,24,25,0.1053,0.0714
5300,25,25,26,0.1053,0.0476
5400,25,25,26,0.1053,0.0952
5500,26,26,26,0.1053,0.0714
5600,27,26,27,0.1053,0.0952
5700,27,27,27,0.1053,0.0952
5800,28,27,28,0.1053,0.0952
5900,28,28,28,0.1053,0.0952
6000,28,28,29,0.1053,0.0952
6100,29,29,30,0.1053,0.0714
6200,29,29,30,0.1053,0.0952
6300,30,30,30,0.1053,0.0714
6400,31,30,31,0.1053,0.0952
6500,31,31,31,0.1053,0.0952
6600,32,31,32,0.1053,0.0952
6700,32,32,32,0.1053,0.0952
6800,33,32,33,0.1053,0.0476
6900,33,33,34,0.1053,0.0952
7000,33,33,34,0.1053,0.0952
7100,34,34,35,0.1053,0.0714
7200,35,34,35,0.1053,0.0952
7300,35,35,35,0.1053,0.0714
7400,36,36,36,0.1053,0.0714
