# Settings - STEP_TO_TIME: 0.1
# Settings - SIMULATION_TIME: 10800
# Settings - STEPS: 108000
# Settings - MAX_CONTAINERS_AMMOUNT: 3
#name production.product_1 production.product_2 production.product_3 stoppers_occupied conveyors_moving
#datatype int int int float float
step,production.product_1,production.product_2,production.product_3,stoppers_occupied,conveyors_moving
0,0,0,0,0.0526,0.0000
100,0,0,0,0.0789,0.0000
200,0,0,0,0.0789,0.0000
300,0,0,0,0.0789,0.0000
400,1,0,0,0.0789,0.0000
500,1,1,1,0.0789,0.0000
600,1,1,1,0.0789,0.0000
700,2,2,1,0.0789,0.0000
800,2,2,2,0.0789,0.0000
900,2,3,2,0.0789,0.0000
1000,3,3,2,0.0789,0.0000
1100,3,3,3,0.0789,0.0000
1200,4,4,3,0.0789,0.0000
1300,4,4,3,0.0789,0.0000
1400,4,4,4,0.0789,0.0000
1500,5,5,4,0.0789,0.0000
1600,5,5,5,0.0789,0.0000
1700,6,6,5,0.0789,0.0000
1800,6,6,5,0.0789,0.0000
1900,6,6,6,0.0789,0.0000
2000,7,7,6,0.0789,0.0000
2100,7,7,6,0.0789,0.0000
2200,7,8,7,0.0789,0.0000
2300,8,8,7,0.0789,0.0000
2400,8,8,7,0.0789,0.0000
2500,9,9,8,0.0789,0.0000
2600,9,9,8,0.0789,0.0000
2700,9,9,8,0.0789,0.0000
2800,10,10,9,0.0789,0.0000
2900,10,10,9,0.0789,0.0000
3000,10,10,10,0.0789,0.0000
3100,11,11,10,0.0789,0.0000
3200,11,11,10,0.0789,0.0000
3300,11,12,11,0.0789,0.0000
3400,12,12,11,0.0789,0.0000
3500,12,12,11,0.0789,0.0000
3600,13,13,12,0.0789,0.0000
3700,13,13,12,0.0789,0.0000
3800,13,13,12,0.0789,0.0000
3900,14,14,13,0.0789,0.0000
4000,14,14,13,0.0789,0.0000
4100,14,14,14,0.0789,0.0000
4200,15,15,14,0.0789,0.0000
4300,15,15,14,0.0789,0.0000
4400,15,16,15,0.0789,0.0000
4500,16,16,15,0.0789,0.0000
4600,16,16,15,0.0789,0.0000
4700,17,17,16,0.0789,0.0000
4800,17,17,16,0.0789,0.0000
4900,17,17,16,0.0789,0.0000
5000,18,18,17,0.0789,0.0000
5100,18,18,17,0.0789,0.0000
5200,18,18,17,0.0789,0.0000
5300,19,19,18,0.0789,0.0000
5400,19,19,18,0.0789,0.0000
5500,19,19,19,0.0789,0.0000
5600,20,20,19,0.0789,0.0000
5700,20,20,19,0.0789,0.0000
5800,20,21,20,0.0789,0.0000
5900,21,21,20,0.0789,0.0000
6000,21,21,20,0.0789,0.0000
6100,22,22,21,0.0789,0.0000
6200,22,22,21,0.0789,0.0000
6300,22,22,21,0.0789,0.0000
6400,23,23,22,0.0789,0.0000
6500,23,23,22,0.0789,0.0000
6600,23,23,22,0.0789,0.0000
6700,24,24,23,0.0789,0.0000
6800,24,24,23,0.0789,0.0000
6900,24,24,24,0.0789,0.0000
7000,25,25,24,0.0789,0.0000
7100,25,25,24,0.0789,0.0000
7200,25,26,25,0.0789,0.0000
7300,26,26,25,0.0789,0.0000
7400,26,26,25,0.0789,0.0000
7500,27,27,26,0.0789,0.0000
7600,27,27,26,0.0789,0.0000
7700,27,27,26,0.0789,0.0000
7800,28,28,27,0.0789,0.0000
7900,28,28,27,0.0789,0.0000
8000,28,28,28,0.0789,0.0000
8100,29,29,28,0.0789,0.0000
8200,29,29,28,0.0789,0.0000
8300,29,30,29,0.0789,0.0000
8400,30,30,29,0.0789,0.0000
8500,30,30,29,0.0789,0.0000
8600,31,31,30,0.0789,0.0000
8700,31,31,30,0.0789,0.0000
8800,31,31,30,0.0789,0.0000
8900,32,32,31,0.0789,0.0000
9000,32,32,31,0.0789,0.0000
9100,32,32,31,0.0789,0.0000
9200,33,33,32,0.0789,0.0000
9300,33,33,32,0.0789,0.0000
9400,33,33,33,0.0789,0.0000
9500,34,34,33,0.0789,0.0000
9600,34,34,33,0.0789,0.0000
9700,34,35,34,0.0789,0.0000
9800,35,35,34,0.0789,0.0000
9900,35,35,34,0.0789,0.0000
10000,36,36,35,0.0789,0.0000
10100,36,36,35,0.0789,0.0000
10200,36,36,35,0.0789,0.0000
10300,37,37,36,0.0789,0.0000
10400,37,37,36,0.0789,0.0000
10500,37,37,37,0.0789,0.0000
10600,38,38,37,0.0789,0.0000
10700,38,38,37,0.0789,0.0000
10800,38,39,38,0.0789,0.0000
10900,39,39,38,0.0789,0.0000
11000,39,39,38,0.0789,0.0000
11100,40,40,39,0.0789,0.0000
11200,40,40,39,0.0789,0.0000
11300,40,40,39,0.0789,0.0000
11400,41,41,40,0.0789,0.0000
11500,41,41,40,0.0789,0.0000
11600,41,41,40,0.0789,0.0000
11700,42,42,41,0.0789,0.0000
11800,42,42,41,0.0789,0.0000
11900,42,42,42,0.0789,0.0000
12000,43,43,42,0.0789,0.0000
12100,43,43,42,0.0789,0.0000
12200,43,44,43,0.0789,0.0000
12300,44,44,43,0.0789,0.0000
12400,44,44,43,0.0789,0.0000
12500,45,45,44,0.0789,0.0000
12600,45,45,44,0.0789,0.0000
12700,45,45,44,0.0789,0.0000
12800,46,46,45,0.0789,0.0000
12900,46,46,45,0.0789,0.0000
13000,46,46,46,0.0789,0.0000
13100,47,47,46,0.0789,0.0000
13200,47,47,46,0.0789,0.0000
13300,47,48,47,0.0789,0.0000
13400,48,48,47,0.0789,0.0000
13500,48,48,47,0.0789,0.0000
13600,49,49,48,0.0789,0.0000
13700,49,49,48,0.0789,0.0000
13800,49,49,48,0.0789,0.0000
13900,50,50,49,0.0789,0.0000
14000,50,50,49,0.0789,0.0000
14100,50,50,49,0.0789,0.0000
14200,51,51,50,0.0789,0.0000
14300,51,51,50,0.0789,0.0000
14400,51,51,51,0.0789,0.0000
14500,52,52,51,0.0789,0.0000
14600,52,52,51,0.0789,0.0000
14700,52,53,52,0.0789,0.0000
14800,53,53,52,0.0789,0.0000
14900,53,53,52,0.0789,0.0000
15000,54,54,53,0.0789,0.0000
15100,54,54,53,0.0789,0.0000
15200,54,54,53,0.0789,0.0000
15300,55,55,54,0.0789,0.0000
15400,55,55,54,0.0789,0.0000
15500,55,55,55,0.0789,0.0000
15600,56,56,55,0.0789,0.0000
15700,56,56,55,0.0789,0.0000
15800,56,57,56,0.0789,0.0000
15900,57,57,56,0.0789,0.0000
16000,57,57,56,0.0789,0.0000
16100,58,58,57,0.0789,0.0000
16200,58,58,57,0.0789,0.0000
16300,58,58,57,0.0789,0.0000
16400,59,59,58,0.0789,0.0000
16500,59,59,58,0.0789,0.0000
16600,59,59,58,0.0789,0.0000
16700,60,60,59,0.0789,0.0000
16800,60,60,59,0.0789,0.0000
16900,60,60,60,0.0789,0.0000
17000,61,61,60,0.0789,0.0000
17100,61,61,60,0.0789,0.0000
17200,61,62,61,0.0789,0.0000
17300,62,62,61,0.0789,0.0000
17400,62,62,61,0.0789,0.0000
17500,63,63,62,0.0789,0.0000
17600,63,63,62,0.0789,0.0000
17700,63,63,62,0.0789,0.0000
