# Settings - STEP_TO_TIME: 0.1
# Settings - SIMULATION_TIME: 10800
# Settings - STEPS: 108000
# Settings - MAX_CONTAINERS_AMMOUNT: 5
#name production.product_1 production.product_2 production.product_3 stoppers_occupied conveyors_moving
#datatype int int int float float
step,production.product_1,production.product_2,production.product_3,stoppers_occupied,conveyors_moving
0,0,0,0,0.0526,0.0238
100,0,0,0,0.1316,0.0476
200,0,0,0,0.1316,0.0952
300,0,0,0,0.1316,0.1190
400,0,0,1,0.1316,0.1190
500,1,1,1,0.1316,0.1190
600,2,1,2,0.1316,0.1190
700,2,2,2,0.1316,0.0952
800,3,3,3,0.1316,0.0952
900,4,3,4,0.1316,0.0952
1000,4,4,4,0.1316,0.1190
1100,5,5,5,0.1316,0.0714
1200,5,5,6,0.1316,0.1190
1300,6,6,6,0.1316,0.1190
1400,7,6,7,0.1316,0.1190
1500,7,7,7,0.1316,0.1190
1600,8,8,8,0.1316,0.1190
1700,9,8,9,0.1316,0.0952
1800,9,9,9,0.1316,0.0952
1900,10,10,10,0.1316,0.0238
2000,10,10,11,0.1316,0.1190
2100,11,11,11,0.1316,0.0952
2200,12,11,12,0.1316,0.1190
2300,12,12,13,0.1316,0.0952
2400,13,13,13,0.1316,0.1190
2500,14,13,14,0.1316,0.1190
2600,14,14,14,0.1316,0.1190
2700,15,15,15,0.1316,0.0952
2800,15,15,16,0.1316,0.1190
2900,16,16,16,0.1316,0.0952
3000,17,17,17,0.1316,0.0714
3100,17,17,18,0.1316,0.0952
3200,18,18,18,0.1316,0.1190
3300,19,18,19,0.1316,0.0952
3400,19,19,20,0.1316,0.0952
3500,20,20,20,0.1316,0.1190
3600,20,20,21,0.1316,0.1190
3700,21,21,21,0.1316,0.1190
3800,22,22,22,0.1316,0.0952
3900,22,22,23,0.1316,0.1190
4000,23,23,23,0.1316,0.0952
4100,24,23,24,0.1316,0.0952
4200,24,24,25,0.1316,0.0952
4300,25,25,25,0.1316,0.1190
4400,25,25,26,0.1316,0.1190
4500,26,26,27,0.1316,0.0952
4600,27,27,27,0.1316,0.0952
4700,27,27,28,0.1316,0.1190
4800,28,28,28,0.1316,0.1190
4900,29,28,29,0.1316,0.0714
5000,29,29,30,0.1316,0.1190
5100,30,30,30,0.1316,0.1190
5200,31,30,31,0.1316,0.0714
5300,31,31,32,0.1316,0.0952
5400,32,32,32,0.1316,0.0714
5500,33,32,33,0.1316,0.0952
5600,33,33,33,0.1316,0.1190
5700,34,33,34,0.1316,0.0952
5800,34,34,35,0.1316,0.1190
5900,35,35,35,0.1316,0.1190
6000,36,35,36,0.1316,0.1190
6100,36,36,37,0.1316,0.0952
6200,37,37,37,0.1316,0.0952
6300,38,37,38,0.1316,0.1190
6400,38,38,38,0.1316,0.1190
6500,39,38,39,0.1316,0.1190
6600,39,39,40,0.1316,0.1190
6700,40,40,40,0.1316,0.1190
6800,41,40,41,0.1316,0.0952
6900,41,41,42,0.1316,0.1190
7000,42,42,42,0.1316,0.1190
7100,43,42,43,0.1316,0.1190
7200,43,43,43,0.1316,0.1190
7300,44,44,44,0.1316,0.0714
7400,45,44,45,0.1316,0.0952
7500,45,45,45,0.1316,0.0952
7600,46,46,46,0.1316,0.0714
7700,46,46,47,0.1316,0.1190
7800,47,47,47,0.1316,0.1190
7900,48,47,48,0.1316,0.1190
8000,48,48,48,0.1316,0.1190
8100,49,49,49,0.1316,0.0952
8200,50,49,50,0.1316,0.1190
8300,50,50,50,0.1316,0.0952
8400,51,51,51,0.1316,0.0952
8500,51,51,52,0.1316,0.1190
8600,52,52,52,0.1316,0.1190
8700,53,52,53,0.1316,0.0952
8800,53,53,54,0.1316,0.0952
8900,54,54,54,0.1316,0.1190
9000,55,54,55,0.1316,0.0952
9100,55,55,55,0.1316,0.1190
9200,56,56,56,0.1316,0.1190
9300,56,56,57,0.1316,0.1190
9400,57,57,57,0.1316,0.0952
9500,58,58,58,0.1316,0.0714
9600,58,58,59,0.1316,0.0952
9700,59,59,59,0.1316,0.1190
9800,60,59,60,0.1316,0.0952
9900,60,60,60,0.1316,0.0952
10000,61,61,61,0.1316,0.1190
10100,61,61,62,0.1316,0.1190
10200,62,62,62,0.1316,0.0952
10300,63,63,63,0.1316,0.0714
10400,63,63,64,0.1316,0.1190
10500,64,64,64,0.1316,0.1190
10600,65,64,65,0.1316,0.1190
10700,65,65,66,0.1316,0.0952
10800,66,66,66,0.1316,0.0952
10900,67,66,67,0.1316,0.0714
11000,67,67,67,0.1316,0.1190
11100,68,68,68,0.1316,0.0714
11200,68,68,69,0.1316,0.1190
11300,69,69,69,0.1316,0.1190
11400,70,69,70,0.1316,0.1190
11500,70,70,71,0.1316,0.1190
11600,71,71,71,0.1316,0.0952
11700,72,71,72,0.1316,0.0952
11800,72,72,72,0.1316,0.0952
11900,73,73,73,0.1316,0.0952
12000,73,73,74,0.1316,0.1190
12100,74,74,74,0.1316,0.1190
12200,75,74,75,0.1316,0.0952
12300,75,75,76,0.1316,0.1190
12400,76,76,76,0.1316,0.1190
12500,77,76,77,0.1316,0.1190
12600,77,77,77,0.1316,0.1190
12700,78,78,78,0.1316,0.1190
12800,79,78,79,0.1316,0.0952
12900,79,79,79,0.1316,0.0952
13000,80,80,80,0.1316,0.0476
13100,80,80,81,0.1316,0.1190
13200,81,81,81,0.1316,0.0952
13300,82,81,82,0.1316,0.1190
13400,82,82,82,0.1316,0.1190
13500,83,83,83,0.1316,0.1190
13600,84,83,84,0.1316,0.1190
13700,84,84,84,0.1316,0.0952
13800,85,85,85,0.1316,0.0714
13900,85,85,86,0.1316,0.1190
14000,86,86,86,0.1316,0.0952
