# Settings - STEP_TO_TIME: 0.1
# Settings - SIMULATION_TIME: 10800
# Settings - STEPS: 108000
# Settings - MAX_CONTAINERS_AMMOUNT: 7
#name production.product_1 production.product_2 production.product_3 stoppers_occupied conveyors_moving
#datatype int int int float float
step,production.product_1,production.product_2,production.product_3,stoppers_occupied,conveyors_moving
0,0,0,0,0.0526,0.0238
100,0,0,0,0.1316,0.0476
200,0,0,0,0.1842,0.0952
300,0,0,0,0.1842,0.1429
400,0,0,1,0.1842,0.1667
500,1,1,1,0.1842,0.1667
600,2,1,2,0.1842,0.1429
700,2,3,3,0.1842,0.1429
800,3,3,4,0.1842,0.1667
900,4,4,5,0.1842,0.1429
1000,5,5,6,0.1842,0.1429
1100,6,6,6,0.1842,0.1667
1200,7,7,7,0.1842,0.1667
1300,8,8,8,0.1842,0.1667
1400,9,8,9,0.1842,0.1190
1500,9,10,10,0.1842,0.1667
1600,10,10,11,0.1842,0.1667
1700,11,11,12,0.1842,0.1429
1800,12,12,13,0.1842,0.1429
1900,13,13,13,0.1842,0.1667
2000,14,14,14,0.1842,0.1429
2100,15,15,15,0.1842,0.1667
2200,16,15,16,0.1842,0.1667
2300,16,16,17,0.1842,0.1667
2400,17,17,18,0.1842,0.1667
2500,18,18,19,0.1842,0.1667
2600,19,19,19,0.1842,0.1429
2700,20,20,20,0.1842,0.1190
2800,21,21,21,0.1842,0.1667
2900,22,21,22,0.1842,0.1429
3000,23,22,23,0.1842,0.1190
3100,23,23,24,0.1842,0.1667
3200,24,24,25,0.1842,0.1429
3300,25,25,26,0.1842,0.1429
3400,26,26,26,0.1842,0.1429
3500,27,27,27,0.1842,0.1667
3600,28,28,28,0.1842,0.1667
3700,29,28,29,0.1842,0.0952
3800,29,29,30,0.1842,0.1667
3900,30,30,31,0.1842,0.1667
4000,31,31,32,0.1842,0.1190
4100,32,32,32,0.1842,0.1429
4200,33,33,33,0.1842,0.1190
4300,34,34,34,0.1842,0.1429
4400,35,34,35,0.1842,0.1429
4500,35,35,36,0.1842,0.0952
4600,36,36,37,0.1842,0.1667
4700,37,37,38,0.1842,0.1429
4800,38,38,38,0.1842,0.1667
4900,39,39,39,0.1842,0.1429
5000,40,40,40,0.1842,0.1667
5100,41,40,41,0.1842,0.1667
5200,42,41,42,0.1842,0.1190
5300,42,42,43,0.1842,0.1667
5400,43,43,44,0.1842,0.1667
5500,44,44,45,0.1842,0.1429
5600,45,45,45,0.1842,0.1190
5700,46,46,46,0.1842,0.1429
5800,47,47,47,0.1842,0.1429
5900,48,47,48,0.1842,0.1429
6000,48,48,49,0.1842,0.1190
6100,49,49,50,0.1842,0.1667
6200,50,50,51,0.1842,0.1429
6300,51,51,51,0.1842,0.1429
6400,52,52,52,0.1842,0.1429
6500,53,53,53,0.1842,0.1667
6600,54,53,54,0.1842,0.0952
6700,55,54,55,0.1842,0.0952
6800,55,55,56,0.1842,0.1667
6900,56,56,57,0.1842,0.1190
7000,57,57,58,0.1842,0.1429
7100,58,58,58,0.1842,0.1190
7200,59,59,59,0.1842,0.1190
7300,60,60,60,0.1842,0.1429
7400,61,60,61,0.1842,0.0714
7500,61,61,62,0.1842,0.1190
7600,62,62,63,0.1842,0.1667
7700,63,63,64,0.1842,0.1190
7800,64,64,64,0.1842,0.1667
7900,65,65,65,0.1842,0.1667
8000,66,66,66,0.1842,0.1429
8100,67,66,67,0.1842,0.1190
8200,68,67,68,0.1842,0.0952
8300,68,68,69,0.1842,0.1667
8400,69,69,70,0.1842,0.1429
8500,70,70,71,0.1842,0.1429
8600,71,71,71,0.1842,0.1429
8700,72,72,72,0.1842,0.1429
8800,73,73,73,0.1842,0.1429
8900,73,73,74,0.1842,0.1190
9000,74,74,75,0.1842,0.1429
9100,75,75,76,0.1842,0.1667
9200,76,76,76,0.1842,0.1667
9300,77,77,77,0.1842,0.1429
9400,78,78,78,0.1842,0.1667
9500,79,78,79,0.1842,0.1667
9600,80,79,80,0.1842,0.0952
9700,80,80,81,0.1842,0.1667
9800,81,81,82,0.1842,0.1667
9900,82,82,83,0.1842,0.1429
10000,83,83,83,0.1842,0.1429
10100,84,84,84,0.1842,0.1429
10200,85,85,85,0.1842,0.1429
10300,86,85,86,0.1842,0.1190
10400,86,86,87,0.1842,0.1190
10500,87,87,88,0.1842,0.1667
10600,88,88,89,0.1842,0.0952
10700,89,89,89,0.1842,0.1429
10800,90,90,90,0.1842,0.1667
10900,91,91,91,0.1842,0.1429
11000,92,91,92,0.1842,0.1429
11100,93,92,93,0.1842,0.0952
11200,93,93,94,0.1842,0.1667
11300,94,94,95,0.1842,0.1429
11400,95,95,96,0.1842,0.1429
11500,96,96,96,0.1842,0.1429
11600,97,97,97,0.1842,0.1667
11700,98,98,98,0.1842,0.1429
11800,98,98,99,0.1842,0.1667
11900,99,99,100,0.1842,0.1429
12000,100,100,101,0.1842,0.1667
12100,101,101,101,0.1842,0.1667
12200,102,102,102,0.1842,0.1429
12300,103,103,103,0.1842,0.1667
12400,104,103,104,0.1842,0.1667
12500,105,104,105,0.1842,0.1429
12600,105,105,106,0.1842,0.1667
12700,106,106,107,0.1842,0.1667
12800,107,107,108,0.1842,0.1429
12900,108,108,108,0.1842,0.1667
13000,109,109,109,0.1842,0.1429
13100,110,110,110,0.1842,0.1667
13200,111,110,111,0.1842,0.1667
13300,111,111,112,0.1842,0.1667
13400,112,112,113,0.1842,0.1667
13500,113,113,114,0.1842,0.1667
13600,114,114,114,0.1842,0.1429
13700,115,115,115,0.1842,0.1190
13800,116,116,116,0.1842,0.1667
13900,117,116,117,0.1842,0.1429
14000,118,117,118,0.1842,0.1190
