# Settings - STEP_TO_TIME: 0.1
# Settings - SIMULATION_TIME: 10800
# Settings - STEPS: 108000
# Settings - MAX_CONTAINERS_AMMOUNT: 9
#name production.product_1 production.product_2 production.product_3 stoppers_occupied conveyors_moving
#datatype int int int float float
step,production.product_1,production.product_2,production.product_3,stoppers_occupied,conveyors_moving
0,0,0,0,0.0526,0.0238
100,0,0,0,0.1316,0.0476
200,0,0,0,0.1842,0.0952
300,0,0,0,0.2368,0.1429
400,0,1,0,0.2368,0.1667
500,1,1,1,0.2368,0.1905
600,1,2,2,0.2368,0.1905
700,2,3,3,0.2368,0.1905
800,3,5,4,0.2368,0.1905
900,4,6,5,0.2368,0.1905
1000,5,7,6,0.2368,0.2143
1100,7,8,7,0.2368,0.1667
1200,8,9,8,0.2368,0.1667
1300,9,10,9,0.2368,0.1905
1400,10,11,10,0.2368,0.1905
1500,11,12,11,0.2368,0.1667
1600,12,13,13,0.2368,0.0952
1700,13,14,14,0.2368,0.0952
1800,14,15,15,0.2368,0.0714
1900,15,17,16,0.2368,0.0952
2000,16,18,17,0.2368,0.1190
2100,17,19,18,0.2368,0.1667
2200,19,20,19,0.2368,0.1905
2300,20,21,20,0.2368,0.1905
2400,21,22,21,0.2368,0.1905
2500,22,23,22,0.2368,0.2143
2600,23,24,23,0.2368,0.2143
2700,24,25,24,0.2368,0.2143
2800,25,26,25,0.2368,0.2143
2900,26,27,26,0.2368,0.2143
3000,27,28,28,0.2368,0.2143
3100,28,29,29,0.2368,0.2143
3200,29,30,30,0.2368,0.1905
3300,30,32,31,0.2368,0.1905
3400,31,33,32,0.2368,0.1905
3500,32,34,33,0.2368,0.1905
3600,34,35,34,0.2368,0.1667
3700,35,36,35,0.2368,0.1667
3800,36,37,36,0.2368,0.1905
3900,37,38,37,0.2368,0.1905
4000,38,39,38,0.2368,0.1667
4100,39,40,40,0.2368,0.0952
4200,40,41,41,0.2368,0.1190
4300,41,42,42,0.2368,0.0952
4400,42,44,43,0.2368,0.1190
4500,43,45,44,0.2368,0.1429
4600,44,46,45,0.2368,0.1667
4700,46,47,46,0.2368,0.1905
4800,47,48,47,0.2368,0.1905
4900,48,49,48,0.2368,0.1905
5000,49,50,49,0.2368,0.2143
5100,50,51,50,0.2368,0.2143
5200,51,52,51,0.2368,0.2143
5300,52,53,52,0.2368,0.2143
5400,53,54,53,0.2368,0.2143
5500,54,55,55,0.2368,0.2143
5600,55,56,56,0.2368,0.2143
5700,56,57,57,0.2368,0.1905
5800,57,59,58,0.2368,0.1905
5900,58,60,59,0.2368,0.1905
6000,59,61,60,0.2368,0.1905
6100,61,62,61,0.2368,0.1905
6200,62,63,62,0.2368,0.1905
6300,63,64,63,0.2368,0.1905
6400,64,65,64,0.2368,0.1905
6500,65,66,65,0.2368,0.1905
6600,66,67,67,0.2368,0.1429
6700,67,68,67,0.2368,0.1905
6800,68,69,68,0.2368,0.1667
6900,69,71,70,0.2368,0.1190
7000,70,71,71,0.2368,0.1667
7100,71,72,72,0.2368,0.1905
7200,73,74,73,0.2368,0.1905
7300,73,75,74,0.2368,0.2143
7400,74,76,75,0.2368,0.2143
7500,76,77,76,0.2368,0.2143
7600,77,78,77,0.2368,0.2143
7700,78,79,78,0.2368,0.2143
7800,79,80,79,0.2368,0.2143
7900,80,81,80,0.2368,0.1905
8000,81,82,82,0.2368,0.1905
8100,82,83,83,0.2368,0.1190
8200,83,84,84,0.2368,0.1190
8300,84,86,85,0.2368,0.1905
8400,85,87,86,0.2368,0.1429
8500,86,88,87,0.2368,0.1667
8600,88,89,88,0.2368,0.1905
8700,89,90,89,0.2368,0.1905
8800,90,91,90,0.2368,0.1905
8900,91,92,91,0.2368,0.1905
9000,92,93,92,0.2368,0.2143
9100,93,94,93,0.2368,0.2143
9200,94,95,94,0.2368,0.1905
9300,95,96,95,0.2368,0.1905
9400,96,97,97,0.2368,0.1905
9500,97,98,98,0.2368,0.2143
9600,98,99,99,0.2368,0.2143
9700,99,101,100,0.2368,0.2143
9800,100,102,101,0.2368,0.2143
9900,101,103,102,0.2368,0.2143
10000,103,104,103,0.2368,0.2143
10100,104,105,104,0.2368,0.1905
10200,105,106,105,0.2368,0.1905
10300,106,107,106,0.2368,0.2143
10400,107,108,107,0.2368,0.1667
10500,108,109,109,0.2368,0.0952
10600,109,110,110,0.2368,0.1190
10700,110,111,111,0.2368,0.0952
10800,111,113,112,0.2368,0.0952
10900,112,114,113,0.2368,0.1190
11000,113,115,114,0.2368,0.1667
11100,115,116,115,0.2368,0.1905
11200,116,117,116,0.2368,0.1905
11300,117,118,117,0.2368,0.1905
11400,118,119,118,0.2368,0.2143
11500,119,120,119,0.2368,0.2143
11600,120,121,120,0.2368,0.2143
11700,121,122,121,0.2368,0.2143
11800,122,123,122,0.2368,0.2143
11900,123,124,124,0.2368,0.2143
12000,124,125,125,0.2368,0.2143
12100,125,126,126,0.2368,0.2143
12200,126,128,127,0.2368,0.1905
12300,127,129,128,0.2368,0.1905
12400,128,130,129,0.2368,0.2143
12500,130,131,130,0.2368,0.1905
12600,131,132,131,0.2368,0.1905
12700,132,133,132,0.2368,0.1905
12800,133,134,133,0.2368,0.1905
12900,134,135,134,0.2368,0.1667
13000,135,136,136,0.2368,0.0952
13100,136,137,137,0.2368,0.0952
13200,137,138,138,0.2368,0.0714
13300,138,140,139,0.2368,0.0952
13400,139,141,140,0.2368,0.1190
13500,140,142,141,0.2368,0.1667
13600,142,143,142,0.2368,0.1905
13700,143,144,143,0.2368,0.1905
13800,144,145,144,0.2368,0.1905
13900,145,146,145,0.2368,0.1905
14000,146,147,146,0.2368,0.1905
