# Settings - STEP_TO_TIME: 0.1
# Settings - SIMULATION_TIME: 10800
# Settings - STEPS: 108000
# Settings - MAX_CONTAINERS_AMMOUNT: 10
#name production.product_1 production.product_2 production.product_3 stoppers_occupied conveyors_moving
#datatype int int int float float
step,production.product_1,production.product_2,production.product_3,stoppers_occupied,conveyors_moving
0,0,0,0,0.0526,0.0238
100,0,0,0,0.1316,0.0476
200,0,0,0,0.1842,0.0952
300,0,0,0,0.2368,0.1429
400,0,0,1,0.2632,0.1905
500,1,1,1,0.2632,0.2381
600,2,1,2,0.2632,0.2143
700,2,3,3,0.2632,0.2381
800,4,4,4,0.2632,0.2381
900,5,5,6,0.2632,0.2143
1000,6,6,7,0.2632,0.1905
1100,7,8,8,0.2632,0.2381
1200,9,9,9,0.2632,0.2381
1300,10,10,10,0.2632,0.1667
1400,11,11,12,0.2632,0.2381
1500,12,13,13,0.2632,0.2381
1600,14,14,14,0.2632,0.2143
1700,15,15,15,0.2632,0.1905
1800,16,16,17,0.2632,0.2143
1900,17,18,18,0.2632,0.2381
2000,19,19,19,0.2632,0.2143
2100,20,20,20,0.2632,0.2143
2200,21,21,22,0.2632,0.1905
2300,22,23,23,0.2632,0.1905
2400,24,24,24,0.2632,0.2143
2500,25,25,25,0.2632,0.2143
2600,26,26,27,0.2632,0.1905
2700,27,28,28,0.2632,0.2143
2800,29,29,29,0.2632,0.2143
2900,30,30,30,0.2632,0.2381
3000,31,31,32,0.2632,0.2143
3100,32,33,33,0.2632,0.2143
3200,34,34,34,0.2632,0.2143
3300,35,35,35,0.2632,0.2143
3400,36,36,37,0.2632,0.1905
3500,37,38,38,0.2632,0.1905
3600,38,39,39,0.2632,0.2381
3700,40,40,40,0.2632,0.2381
3800,41,41,42,0.2632,0.1905
3900,42,42,43,0.2632,0.1905
4000,44,44,44,0.2632,0.2143
4100,45,45,45,0.2632,0.2381
4200,46,46,46,0.2632,0.1905
4300,47,48,48,0.2632,0.1667
4400,49,49,49,0.2632,0.2143
4500,50,50,50,0.2632,0.2143
4600,51,51,52,0.2632,0.1667
4700,52,53,53,0.2632,0.1905
4800,53,54,54,0.2632,0.2381
4900,55,55,55,0.2632,0.2143
5000,56,56,57,0.2632,0.1905
5100,57,57,58,0.2632,0.1905
5200,58,59,59,0.2632,0.1905
5300,60,60,60,0.2632,0.2143
5400,61,61,61,0.2632,0.2143
5500,62,62,63,0.2632,0.1905
5600,63,64,64,0.2632,0.2143
5700,65,65,65,0.2632,0.2143
5800,66,66,66,0.2632,0.2143
5900,67,67,68,0.2632,0.2143
6000,68,69,69,0.2632,0.2143
6100,70,70,70,0.2632,0.2143
6200,71,71,71,0.2632,0.2143
6300,72,72,73,0.2632,0.1905
6400,73,74,74,0.2632,0.2143
6500,74,75,75,0.2632,0.2381
6600,76,76,76,0.2632,0.2381
6700,77,77,78,0.2632,0.2143
6800,78,78,79,0.2632,0.2143
6900,80,80,80,0.2632,0.2143
7000,81,81,81,0.2632,0.2381
7100,82,82,82,0.2632,0.1905
7200,83,84,84,0.2632,0.1667
7300,85,85,85,0.2632,0.2143
7400,86,86,86,0.2632,0.2143
7500,87,87,88,0.2632,0.1429
7600,88,89,89,0.2632,0.1905
7700,89,90,90,0.2632,0.2381
7800,91,91,91,0.2632,0.2143
7900,92,92,93,0.2632,0.1905
8000,93,93,94,0.2632,0.1905
8100,94,95,95,0.2632,0.1905
8200,96,96,96,0.2632,0.2143
8300,97,97,97,0.2632,0.1905
8400,98,98,99,0.2632,0.1429
8500,99,100,100,0.2632,0.2381
8600,101,101,101,0.2632,0.2143
8700,102,102,102,0.2632,0.2143
8800,103,103,104,0.2632,0.2381
8900,104,105,105,0.2632,0.2143
9000,106,106,106,0.2632,0.2143
9100,107,107,107,0.2632,0.2381
9200,108,108,109,0.2632,0.1905
9300,109,110,110,0.2632,0.2143
9400,110,111,111,0.2632,0.2381
9500,112,112,112,0.2632,0.2381
9600,113,113,114,0.2632,0.1905
9700,114,114,115,0.2632,0.1905
9800,116,116,116,0.2632,0.2143
9900,117,117,117,0.2632,0.2381
10000,118,118,118,0.2632,0.1905
10100,119,120,120,0.2632,0.1429
10200,121,121,121,0.2632,0.2143
10300,122,122,122,0.2632,0.2143
10400,123,123,124,0.2632,0.1190
10500,124,125,125,0.2632,0.1905
10600,125,126,126,0.2632,0.2381
10700,127,127,127,0.2632,0.2143
10800,128,128,129,0.2632,0.1905
10900,129,129,130,0.2632,0.1905
11000,130,131,131,0.2632,0.2381
11100,132,132,132,0.2632,0.2143
11200,133,133,133,0.2632,0.1905
11300,134,134,135,0.2632,0.2143
11400,135,136,136,0.2632,0.2381
11500,137,137,137,0.2632,0.2143
11600,138,138,138,0.2632,0.2143
11700,139,139,140,0.2632,0.2381
11800,140,141,141,0.2632,0.2143
11900,142,142,142,0.2632,0.2143
12000,143,143,143,0.2632,0.2381
12100,144,144,145,0.2632,0.2381
12200,145,146,146,0.2632,0.1905
12300,147,147,147,0.2632,0.2143
12400,148,148,148,0.2632,0.2381
12500,149,149,150,0.2632,0.1905
12600,150,151,151,0.2632,0.1905
12700,152,152,152,0.2632,0.2143
12800,153,153,153,0.2632,0.2381
12900,154,154,155,0.2632,0.1667
13000,155,156,156,0.2632,0.1429
13100,157,157,157,0.2632,0.2143
13200,158,158,158,0.2632,0.2381
13300,159,159,160,0.2632,0.1190
13400,160,161,161,0.2632,0.1905
13500,161,162,162,0.2632,0.2143
13600,163,163,163,0.2632,0.2143
13700,164,164,165,0.2632,0.1429
13800,165,165,166,0.2632,0.1905
13900,166,167,167,0.2632,0.2381
14000,168,168,168,0.2632,0.2143
