step,busyness,production_1,production_2,production_3
6710,0.34210526315789475,,,
6716,,,,93
6738,,,94,
6760,,94,,
6782,,,,94
6804,,,95,
6810,0.3684210526315789,,,
6826,,95,,
6848,,,,95
6870,,,96,
6892,,96,,
6910,0.34210526315789475,,,
6914,,,,96
6936,,,97,
6958,,97,,
6980,,,,97
7002,,,98,
7010,0.3684210526315789,,,
7024,,98,,
7046,,,,98
7068,,,99,
7090,,99,,
7110,0.3684210526315789,,,
7112,,,,99
7134,,,100,
7156,,100,,
7178,,,,100
7200,,,101,
7210,0.3684210526315789,,,
7222,,101,,
7244,,,,101
7266,,,102,
7288,,102,,
7310,0.34210526315789475,,,102
7332,,,103,
7354,,103,,
7376,,,,103
7398,,,104,
7410,0.3684210526315789,,,
7420,,104,,
7442,,,,104
7464,,,105,
7486,,105,,
7508,,,,105
7510,0.3684210526315789,,,
7530,,,106,
7552,,106,,
7574,,,,106
7596,,,107,
7610,0.3684210526315789,,,
7618,,107,,
7640,,,,107
7662,,,108,
7684,,108,,
7706,,,,108
7710,0.3684210526315789,,,
7728,,,109,
7750,,109,,
7772,,,,109
7794,,,110,
7810,0.3684210526315789,,,
7816,,110,,
7838,,,,110
7860,,,111,
7882,,111,,
7904,,,,111
7910,0.3684210526315789,,,
7926,,,112,
7948,,112,,
7970,,,,112
7992,,,113,
8010,0.3684210526315789,,,
8014,,113,,
8036,,,,113
8058,,,114,
8080,,114,,
8102,,,,114
8110,0.3684210526315789,,,
8124,,,115,
8146,,115,,
8168,,,,115
8190,,,116,
8210,0.34210526315789475,,,
8212,,116,,
8234,,,,116
8256,,,117,
8278,,117,,
8300,,,,117
8310,0.3684210526315789,,,
8322,,,118,
8344,,118,,
8366,,,,118
8388,,,119,
8410,0.34210526315789475,119,,
8432,,,,119
8454,,,120,
8476,,120,,
8498,,,,120
8510,0.3684210526315789,,,
8520,,,121,
8542,,121,,
8564,,,,121
8586,,,122,
8608,,122,,
8610,0.3684210526315789,,,
8630,,,,122
8652,,,123,
8674,,123,,
8696,,,,123
8710,0.3684210526315789,,,
8718,,,124,
8740,,124,,
8762,,,,124
8784,,,125,
8806,,125,,
8810,0.3684210526315789,,,
8828,,,,125
8850,,,126,
8872,,126,,
8894,,,,126
8910,0.3684210526315789,,,
8916,,,127,
8938,,127,,
8960,,,,127
8982,,,128,
9004,,128,,
9010,0.3684210526315789,,,
9026,,,,128
9048,,,129,
9070,,129,,
9092,,,,129
9110,0.3684210526315789,,,
9114,,,130,
9136,,130,,
9158,,,,130
9180,,,131,
9202,,131,,
9210,0.3684210526315789,,,
9224,,,,131
9246,,,132,
9268,,132,,
9290,,,,132
9310,0.34210526315789475,,,
9312,,,133,
9334,,133,,
9356,,,,133
9378,,,134,
9400,,134,,
9410,0.3684210526315789,,,
9422,,,,134
9444,,,135,
9466,,135,,
9488,,,,135
9510,0.34210526315789475,,136,
9532,,136,,
9554,,,,136
9576,,,137,
9598,,137,,
9610,0.3684210526315789,,,
9620,,,,137
9642,,,138,
9664,,138,,
9686,,,,138
9708,,,139,
9710,0.3684210526315789,,,
9730,,139,,
9752,,,,139
9774,,,140,
9796,,140,,
9810,0.3684210526315789,,,
9818,,,,140
9840,,,141,
9862,,141,,
9884,,,,141
9906,,,142,
9910,0.3684210526315789,,,
9928,,142,,
9950,,,,142
9972,,,143,
9994,,143,,
